gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC125960407	LOC125960407	-5.82	10.64	4833.82	keratin, type II cytoskeletal 6A-like
LOC101285221	DSP	-3.5	10.83	2206.07	desmoplakin
LOC101276776	PYCR1	-2.42	4.2	55.35	pyrroline-5-carboxylate reductase 1
NKY04_mgp07	COIII	-2.9	12.29	15474.51	NA
LOC101274324	SFN	-5	7.07	401.6	stratifin
LOC101285858	ANP32B	-1.62	6.06	212.83	acidic nuclear phosphoprotein 32 family member B
LOC101282824	TMEM45A	-3.3	3.36	30.77	transmembrane protein 45A
LOC101275232	SPON2	-2.55	7.77	642.73	spondin-2
LOC101279572	BASP1	-3.87	2.35	19.14	brain abundant membrane attached signal protein 1
LOC101285188	TMPRSS13	-5.85	4.73	79.13	transmembrane serine protease 13
LOC101277737	COL17A1	-4.23	6.67	242.86	collagen type XVII alpha 1 chain
LOC101279938	GPNMB	-3.91	6.04	153.72	glycoprotein nmb
LOC101287445	OGN	-2.83	4.93	98.77	osteoglycin
LOC101290294	FMO3	-2.58	6.55	292.17	flavin containing dimethylaniline monoxygenase 3
LOC101272800	A2ML1	-5.51	7.52	246.51	alpha-2-macroglobulin like 1
LOC101278572	LOC101278572	-3.05	4.04	47.53	histone H2B type 1-C/E/F/G/I-like
LOC101282360	POSTN	-2.77	7.86	716.92	periostin
LOC101281352	PIK3R2	-1.57	6.37	243.92	phosphoinositide-3-kinase regulatory subunit 2
LOC101270519	LOC101270519	-5.18	7.04	124.35	serpin B3-like
LOC101280510	SAP30	2.31	4.84	88.12	Sin3A associated protein 30
LOC101269663	TWIST2	-2.17	6.29	233.92	twist family bHLH transcription factor 2
LOC101269272	SLC7A8	-2.94	5.02	97.25	solute carrier family 7 member 8
LOC101281550	NECTIN4	-4.16	4.66	72.77	nectin cell adhesion molecule 4
LOC101285880	MASP1	-2.76	2.98	23.77	MBL associated serine protease 1
LOC101286747	GJB6	-6	5.53	30	gap junction protein beta 6
LOC101289592	GPX3	-2.82	5.13	110.94	glutathione peroxidase 3
LOC101276104	PABPC1	-1.66	8.95	1483.88	poly(A) binding protein cytoplasmic 1
LOC101277821	SERPINB5	-4.41	5.02	94.85	serpin family B member 5
LOC101282298	KLK9	-5.75	3.66	9.38	kallikrein-9
LOC101269307	FAM180A	-2.89	3.69	47.17	family with sequence similarity 180 member A
LOC101284384	IL1RN	-6.46	3.86	43.43	interleukin 1 receptor antagonist
LOC101277254	COMMD8	-2.05	3.33	31.22	COMM domain containing 8
LOC101275612	ISM1	-2.46	4.91	111.92	isthmin 1
LOC101283302	CADPS2	1.69	4.83	83.52	calcium dependent secretion activator 2
LOC101287000	FAT2	-4.31	6.73	311.19	FAT atypical cadherin 2
LOC101272463	SMOC2	-2.38	4.59	76.25	SPARC related modular calcium binding 2
LOC101284138	LGALS7	-5.56	7.15	188.05	galectin-7
LOC101278015	CCDC102B	-3.03	5.15	117.99	coiled-coil domain containing 102B
LOC101277902	SSR4	-2.09	6.4	251.81	signal sequence receptor subunit 4
LOC101289137	AFF2	-3.76	4.11	54.55	ALF transcription elongation factor 2
LOC101289084	GREM1	-3.61	5.1	131.95	gremlin 1, DAN family BMP antagonist
LOC101288853	FBLN5	-1.87	4.92	94.78	fibulin 5
LOC101282995	IRF6	-6.17	3.92	43.85	interferon regulatory factor 6
LOC101281699	CLCA2	-7.77	4.03	44.78	chloride channel accessory 2
LOC101273282	DCT	-6.55	3.28	31.09	dopachrome tautomerase
LOC101283826	NPHS2	-3.53	2.54	16.81	NPHS2 stomatin family member, podocin
LOC101275214	SLC26A9	-4.9	4.35	61.93	solute carrier family 26 member 9
LOC101279773	SHTN1	-1.97	4.82	87.69	shootin 1
LOC101287897	AKR1B1	-2.88	6.93	142.06	aldo-keto reductase family 1 member B
LOC101273234	KRT13	-4.8	8.2	852.38	keratin 13
LOC101275617	ANTXR1	-1.61	6.53	298.63	ANTXR cell adhesion molecule 1
LOC101287998	TP63	-5.16	5.83	168.62	tumor protein p63
LOC101274501	RPL23A	-1.87	7.33	473.51	ribosomal protein L23a
LOC101288212	GRHL3	-5.19	4.18	53.25	grainyhead like transcription factor 3
LOC101289425	LRRC15	-2.32	4.58	85.17	leucine rich repeat containing 15
NKY04_mgp13	ND1	-2.69	12.5	19885.39	NA
LOC101287182	PRELP	-2.3	6.39	299.51	proline and arginine rich end leucine rich repeat protein
LOC101288900	SGMS2	-1.8	3.97	55.7	sphingomyelin synthase 2
LOC101285321	KAL1	-1.85	4.94	89.52	anosmin 1
LOC101277840	MFAP2	-2.39	4.98	109.28	microfibril associated protein 2
LOC101289408	TACSTD2	-5.74	4.84	36.86	tumor associated calcium signal transducer 2
LOC101281389	FGF10	-3.03	3.92	33.21	fibroblast growth factor 10
LOC101279390	ALDH1A3	-1.98	4.85	87.38	aldehyde dehydrogenase 1 family member A3
LOC125962844	LOC125962844	2.58	2.42	15.53	uncharacterized LOC125962844
LOC101269549	ARHGEF5	-4.09	5.29	114.44	Rho guanine nucleotide exchange factor 5
LOC101277209	IMPA2	-2.05	5.57	136.88	inositol monophosphatase 2
LOC101287231	RARG	-1.74	5.69	152.29	retinoic acid receptor gamma
LOC101282017	LOC101282017	-5.55	3.5	32.05	calmodulin-like
LOC101285909	RAB13	-2.04	5.64	158.15	RAB13, member RAS oncogene family
RIOX1	RIOX1	1.6	4.88	87.88	ribosomal oxygenase 1
LOC101279259	ESR1	-1.98	5.46	139.26	estrogen receptor 1
LOC101286956	PI16	-1.94	7.28	466.68	peptidase inhibitor 16
LOC101275761	HLF	-1.54	4.49	78.25	HLF transcription factor, PAR bZIP family member
LOC101290144	PMEL	-3.58	4.84	89.62	premelanosome protein
LOC101287433	FMOD	-2.54	6.47	271.05	fibromodulin
LOC101278542	SH3BGRL3	-1.8	5.98	189.84	SH3 domain binding glutamate rich protein like 3
LOC101270322	IRF4	-3.04	3.05	13.54	interferon regulatory factor 4
LOC101282054	KLK10	-5.78	4.97	95.61	kallikrein related peptidase 10
LOC101280079	CD276	-1.55	5.76	166.04	CD276 molecule
LOC101286819	TMED3	-1.85	4.66	79.44	transmembrane p24 trafficking protein 3
LOC117198242	DMKN	-3.3	7.13	410.87	dermokine
LOC101289855	NFATC2	-2.57	6.74	360.05	nuclear factor of activated T cells 2
LOC101271446	ALDH1A1	-2.52	4.67	76.65	aldehyde dehydrogenase 1 family member A1
LOC101280544	LUM	-2.5	5.8	174.56	lumican
LOC101282844	WNT7B	-4.53	3.55	27.4	Wnt family member 7B
LOC101271435	NOP10	-2.04	2.51	17.12	NOP10 ribonucleoprotein
LOC101280598	TPBGL	-3.06	4.14	54.42	trophoblast glycoprotein like
NKY04_mgp01	CYTB	-2.58	12.2	16759.7	NA
LOC101281089	LOC101281089	-2.14	4.91	91.88	histone H2B type 1-C/E/F/G/I-like
LOC117202671	LOC117202671	-1.99	5.58	144.3	histone H4
LOC101278278	DDIT4L	-2.02	3.7	40.36	DNA damage inducible transcript 4 like
LOC101273317	LOC101273317	-1.99	3.65	39.01	malignant T-cell-amplified sequence 1-like
LOC101288327	ARHGAP11A	-2.07	4.19	57.68	Rho GTPase activating protein 11A
LOC101279987	LOC101279987	-2.24	4.27	55.66	histone H2B type 1-C/E/F/G/I-like
LOC101277272	CA12	-5.13	3.86	40.69	carbonic anhydrase 12
LOC101276279	S1PR2	-1.78	3.96	52.04	sphingosine-1-phosphate receptor 2
LOC101281929	SLC12A2	1.5	5.36	118.88	solute carrier family 12 member 2
LOC101287675	RTN1	1.96	3.59	35.03	reticulon 1
LOC101285928	RPS18	-1.74	7.52	542.34	ribosomal protein S18
LOC101274941	KLF5	-3.14	4.94	90.81	KLF transcription factor 5
LOC101285825	BLVRA	-1.77	4.41	62.03	biliverdin reductase A
LOC101281152	ANGPTL1	-1.9	5.16	109.53	angiopoietin like 1
LOC101273375	CCDC80	-1.82	9.18	1730.26	coiled-coil domain containing 80
LOC101275830	WIPF1	-1.63	6.83	313.15	WAS/WASL interacting protein family member 1
LOC101278375	CDCP1	-2.73	4.73	78.6	CUB domain containing protein 1
LOC101272466	CRTAP	-1.23	6.17	216.07	cartilage associated protein
LOC125961946	LOC125961946	-5.29	2.24	16.87	translation initiation factor IF-2-like
LOC101287245	PKP3	-4.3	6.52	268.64	plakophilin 3
LOC101282587	RTN4R	-2.83	2.21	12.53	reticulon 4 receptor
LOC101288863	TGM1	-3.93	7.23	434.57	transglutaminase 1
LOC101276899	RIPK4	-4.14	4.97	90.02	receptor interacting serine/threonine kinase 4
LOC101284966	CREB3L1	-1.92	7.12	425.71	cAMP responsive element binding protein 3 like 1
LOC101270357	FRMD6	-1.39	6.36	249.53	FERM domain containing 6
LOC101288322	CDH1	-4.21	5.31	78.93	cadherin 1
LOC117198243	KRTDAP	-5.74	6.84	75.43	keratinocyte differentiation associated protein
LOC101279228	SDC1	-2.35	6.31	249.32	syndecan 1
LOC101281101	IFI30	-1.14	4.6	74.86	IFI30 lysosomal thiol reductase
LOC101286698	DOCK4	1	5.84	164.97	dedicator of cytokinesis 4
LOC101274655	LAD1	-4.07	6.53	271.6	ladinin 1
LOC101287856	CPZ	-3.06	4.11	52.32	carboxypeptidase Z
LOC101272478	OLFML3	-1.67	5.34	127.04	olfactomedin like 3
LOC101285102	SNAI2	-2.16	3.63	39.52	snail family transcriptional repressor 2
LOC101287226	TP73	-3.35	3.28	27.08	tumor protein p73
LOC101285434	DPT	-2.73	3.51	40.56	dermatopontin
LOC101274891	RWDD1	-1.38	4.52	70.64	RWD domain containing 1
LOC101272065	ETV3	-1.15	6.37	220.2	ETS variant transcription factor 3
LOC101287991	SMCHD1	1.09	6.81	318.67	structural maintenance of chromosomes flexible hinge domain containing 1
LOC101270351	S100A4	-1.73	8.75	1296.54	protein S100-A4
LOC101270971	CD74	-2.43	5.89	184.53	CD74 molecule
LOC101283604	ISLR	-1.91	5.13	110.74	immunoglobulin superfamily containing leucine rich repeat
LOC101285701	SYNPO2L	-2.2	3.08	27.1	synaptopodin 2 like
LOC101271243	SYTL1	-4.75	3.41	28.26	synaptotagmin like 1
LOC101278635	TSR1	-1.29	5.25	104.59	TSR1 ribosome maturation factor
LOC101279263	EHBP1L1	1.56	8.01	747.91	EH domain binding protein 1 like 1
LOC101276199	DKK3	-1.29	7.47	408.43	dickkopf WNT signaling pathway inhibitor 3
NKY04_mgp10	COII	-2.48	11.61	10044.75	NA
LOC101283353	ISLR2	-3.12	4.29	55.14	immunoglobulin superfamily containing leucine rich repeat 2
LOC101290306	PRG4	-2.47	4.74	78.83	proteoglycan 4
LOC101274244	YBX1	-1.57	8.05	803.44	Y-box binding protein 1
LOC101273201	VGLL3	-1.81	5.4	157.6	vestigial like family member 3
LOC101286383	ESRP1	-5.12	5.04	96.2	epithelial splicing regulatory protein 1
LOC101271116	TTC22	-3.97	4.19	50.8	tetratricopeptide repeat domain 22
LOC101289464	PTPRF	-2.62	7.63	576.09	protein tyrosine phosphatase receptor type F
LOC101279875	SLC52A2	1.4	4.26	55.49	solute carrier family 52 member 2
LOC101285018	GLT1D1	-3.02	3.19	27.17	glycosyltransferase 1 domain containing 1
LOC117197019	LOC117197019	-4.96	3.93	19.86	beta-defensin 103A-like
LOC101273095	ACKR4	-2.93	2.99	26.05	atypical chemokine receptor 4
LOC101280220	TBCA	-1.52	3.73	38.03	tubulin folding cofactor A
LOC101280659	MAFB	-1.48	5.8	180.99	MAF bZIP transcription factor B
LOC101270265	RPS13	-1.83	6.84	342.31	ribosomal protein S13
NKY04_mgp06	ND3	-2.14	9.44	2238.03	NA
LOC101280684	COTL1	-1.58	4.68	82.33	coactosin like F-actin binding protein 1
LOC117202994	LOC117202994	-4.45	2.53	17.23	keratin, type II cuticular Hb2-like
LOC101275443	LOC101275443	-1.59	6.01	194.89	histone H1.3
LOC101288980	POLE3	-1.32	5.06	107.37	DNA polymerase epsilon 3, accessory subunit
LOC101284402	CNFN	-4.49	5.68	159.47	cornifelin
LOC101269732	TBC1D30	1.48	4.77	77.86	TBC1 domain family member 30
LOC101270533	TENM2	-3.88	4.34	61.61	teneurin transmembrane protein 2
LOC101276011	TSPAN33	1.8	3.05	22.71	tetraspanin 33
LOC101288240	CDS2	1.14	6.19	252.4	CDP-diacylglycerol synthase 2
LOC101272541	LGALS1	-1.86	8.78	1345.52	galectin 1
LOC101272491	GPC4	-2.13	3.54	39.18	glypican 4
LOC101288009	BARX2	-5.84	3.22	24.96	BARX homeobox 2
LOC101277912	OVOL2	-5.97	3.11	25.6	ovo like zinc finger 2
LOC101286568	SPARC	-1.75	11.8	9793.96	secreted protein acidic and cysteine rich
LOC101275475	FN1	-1.78	11.37	7892.53	fibronectin 1
LOC101283097	DAP	-1.48	6.62	402.75	death associated protein
LOC101283803	RAB25	-4.61	3.65	30.15	RAB25, member RAS oncogene family
LOC101269212	MAPK13	-3.67	5.08	94.01	mitogen-activated protein kinase 13
LOC101271978	KCNK12	-2.51	3.52	37.75	potassium two pore domain channel subfamily K member 12
C10H6orf15	C10H6orf15	-3.86	6.99	63.48	chromosome 10 C6orf15 homolog
LOC101276523	GALNT6	-3.77	4.13	35.97	polypeptide N-acetylgalactosaminyltransferase 6
LOC101282920	RPL18A	-1.53	7.48	525.52	ribosomal protein L18a
LOC101270790	KIF3B	-1.23	6.35	217.36	kinesin family member 3B
LOC101273332	EHF	-5.22	4.57	80.84	ETS homologous factor
LOC101289791	PMP22	-1.57	5.19	112.5	peripheral myelin protein 22
LOC101276275	OCA2	-6.33	3.45	20.73	OCA2 melanosomal transmembrane protein
LOC101269815	LOC101269815	-1.49	4.34	55.05	cytochrome P450 27C1
LOC101280408	RORA	-1.29	6.54	304.19	RAR related orphan receptor A
LOC101273861	PEBP4	-2.44	2.78	20.84	phosphatidylethanolamine binding protein 4
LOC101285584	SLC47A2	-3.94	2.47	21.15	solute carrier family 47 member 2
LOC101288360	TLL1	2.38	4.74	75	tolloid like 1
LOC101290467	DSC3	-5.48	6.32	234.1	desmocollin 3
LOC101283701	HS2ST1	0.88	4.83	83.84	heparan sulfate 2-O-sulfotransferase 1
LOC101285484	SAP18	-1.5	5.49	141.52	Sin3A associated protein 18
LOC101272267	ACOT11	-2.76	4.02	46.53	acyl-CoA thioesterase 11
C3H19orf53	C3H19orf53	-1.38	3.65	55.81	chromosome 3 C19orf53 homolog
LOC101286214	EEF2	-1.18	10.96	5165.15	eukaryotic translation elongation factor 2
LOC117202997	LOC117202997	-4.37	4.3	12.4	keratin, type II cytoskeletal 75-like
LOC101273448	GAS7	-1.13	7.74	609.98	growth arrest specific 7
LOC101271395	GPSM2	-1.49	4.48	66.49	G protein signaling modulator 2
LOC117198141	TMA7	-1.52	3.86	39.77	translation machinery associated 7 homolog
LOC101290447	AIF1	-3.27	1.82	10.26	allograft inflammatory factor 1
LOC105747741	GNG10	-1.81	4.34	62.41	G protein subunit gamma 10
LOC101270637	ANG	-3.39	2.48	14.61	angiogenin
LOC101284421	GPRC5C	-2.89	2.65	17.86	G protein-coupled receptor class C group 5 member C
LOC101274435	TMEM255B	1.97	3.08	22.42	transmembrane protein 255B
LOC101272878	ACKR2	-1.76	4.01	32.02	atypical chemokine receptor 2
LOC101288739	PAK6	-3.95	4.45	65.72	p21 (RAC1) activated kinase 6
LOC101276996	NREP	-2.18	6.26	225.43	neuronal regeneration related protein
LOC101280430	XPNPEP2	-3.22	2.05	10.76	X-prolyl aminopeptidase 2
LOC101273032	UBL5	-1.62	3.78	41.47	ubiquitin like 5
LOC101278386	EMX2	-1.7	4.32	55.59	empty spiracles homeobox 2
LOC101286000	RPL8	-1.47	8.61	1082.51	ribosomal protein L8
LOC101290094	MCTP1	1.47	5.43	124.91	multiple C2 and transmembrane domain containing 1
LOC101278176	AMZ2	-1.37	4.36	64.61	archaelysin family metallopeptidase 2
LOC101271854	KCNMA1	-1.77	5.32	121.68	potassium calcium-activated channel subfamily M alpha 1
LOC101286454	PLEKHA4	-1.41	4.9	92.25	pleckstrin homology domain containing A4
LOC101270104	VSIG8	-4.39	5.6	140.84	V-set and immunoglobulin domain containing 8
LOC101290326	WNK1	-0.98	8.7	1114.28	WNK lysine deficient protein kinase 1
LOC101283333	CDC42BPA	0.87	7.03	388.37	CDC42 binding protein kinase alpha
LOC101278925	KDELR3	-1.78	6	207.52	KDEL endoplasmic reticulum protein retention receptor 3
LOC101278317	FAM102A	-1.41	5.69	166.41	family with sequence similarity 102 member A
LOC101285330	MYCL	-2.84	3.16	25.4	MYCL proto-oncogene, bHLH transcription factor
LOC101288720	NPM3	-1.4	5	100.95	nucleophosmin/nucleoplasmin 3
LOC101286535	LMX1B	-3.9	3.83	33.3	LIM homeobox transcription factor 1 beta
NKY04_mgp11	COI	-2.52	14.95	99577.06	NA
LOC101269222	SULT2B1	-5.33	2.9	19.76	sulfotransferase family 2B member 1
LOC101287985	LOC101287985	-2.56	2.07	12.29	cytochrome P450 2J2
LOC101269553	FAM83C	-2.76	4.3	57.93	family with sequence similarity 83 member C
LOC101277165	EIF4EBP1	-2.46	3.47	26.12	eukaryotic translation initiation factor 4E binding protein 1
LOC101277349	ATP6V1F	-1.28	4.2	57.6	ATPase H+ transporting V1 subunit F
LOC101283111	TFAP2A	-3.68	4.81	79.13	transcription factor AP-2 alpha
LOC101288221	MIGA2	1.52	6.14	158.81	mitoguardin 2
LOC101279050	ZNRF2	1.09	4.68	100.81	zinc and ring finger 2
LOC101278527	LOC101278527	1.89	4.85	87.29	death domain-containing membrane protein NRADD-like
LOC101280267	FIBIN	-2.02	4.55	73.1	fin bud initiation factor homolog
LOC101288227	SUCLG1	-1.46	4.52	70.83	succinate-CoA ligase GDP/ADP-forming subunit alpha
LOC101288603	LAMTOR1	-1.14	5.23	90.06	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
LOC101271941	RPLP1	-1.68	9.14	1573.99	ribosomal protein lateral stalk subunit P1
LOC101283075	ASTN2	1.61	5.7	146.35	astrotactin 2
LOC101275084	NSA2	-1.69	6.24	225.63	NSA2 ribosome biogenesis factor
LOC101282594	SLC27A6	-4.33	3.62	35.28	solute carrier family 27 member 6
LOC101280466	GTPBP6	1.23	7	379.61	GTP binding protein 6 (putative)
LOC101269310	CCM2L	1.56	5.04	101.05	CCM2 like scaffold protein
LOC101269665	EEF1B2	-1.79	6.29	218.82	eukaryotic translation elongation factor 1 beta 2
LOC101282046	PHPT1	-1.63	3.04	22.51	phosphohistidine phosphatase 1
LOC101282629	SEMA4A	-3.63	3.95	42.57	semaphorin 4A
LOC101285542	PRR18	-2.03	4.82	60.69	proline rich 18
LOC101286530	LY6G6C	-5.64	2.44	14.44	lymphocyte antigen 6 family member G6C
LOC101286048	DEAF1	1.18	5.63	140.91	DEAF1 transcription factor
LOC101270037	GOLIM4	-1.28	7.78	609.8	golgi integral membrane protein 4
LOC101278205	SSRP1	-1.08	6.93	349.82	structure specific recognition protein 1
LOC101289651	FMN1	-2.39	4.41	64.83	formin 1
LOC117197667	ATP5F1E	-1.63	4.08	56.65	ATP synthase F1 subunit epsilon
LOC101289195	ACSL1	1.15	6.03	199.13	acyl-CoA synthetase long chain family member 1
LOC101274687	RPL36	-1.37	6.86	320.86	ribosomal protein L36
LOC101280146	PLCH2	2.04	3.24	33.51	phospholipase C eta 2
LOC101283040	ZNF467	1.32	4.33	60.13	zinc finger protein 467
LOC101288860	SMAD1	1.01	6.4	238.95	SMAD family member 1
LOC101281620	C1QTNF7	-1.82	4.9	83.49	C1q and TNF related 7
LOC125961829	LOC125961829	2.13	5.02	119.35	AT-rich interactive domain-containing protein 1A-like
LOC101276880	SGPP2	-3.88	2.42	13.66	sphingosine-1-phosphate phosphatase 2
LOC101288371	TMEM54	-3.1	3.78	40.17	transmembrane protein 54
LOC101289868	LOC101289868	-1.11	5.67	126.32	cytochrome c oxidase subunit 6B1
LOC101274661	TBXA2R	-2.05	3.76	46.82	thromboxane A2 receptor
LOC101284360	PCK1	2.45	6.66	284.8	phosphoenolpyruvate carboxykinase 1
LOC101287797	RPL29	-1.35	6.85	328.84	ribosomal protein L29
LOC101288939	OTX1	-4.76	2.94	21.55	orthodenticle homeobox 1
LOC101284641	IL36RN	-6.18	2.13	14.57	interleukin 36 receptor antagonist
LOC101273817	TBKBP1	1.33	6.12	205.01	TBK1 binding protein 1
LOC101273312	MFAP5	-2.29	4.14	53.42	microfibril associated protein 5
LOC101277440	PLAC9	-1.82	5.31	115.42	placenta associated 9
LOC101284444	TXNDC5	-1.1	7	384.72	thioredoxin domain containing 5
LOC101284835	SIRPA	-1.4	5.15	113.45	signal regulatory protein alpha
LOC101286291	SPHK1	1.47	5.1	105.47	sphingosine kinase 1
LOC101280004	NPAS2	-1.24	5.31	115.68	neuronal PAS domain protein 2
LOC101275044	RASA1	1.11	5.44	128.65	RAS p21 protein activator 1
LOC101271438	GRHL1	-3.3	4.24	55.49	grainyhead like transcription factor 1
LOC101272991	GNL2	-1.08	4.92	71.08	G protein nucleolar 2
LOC101287582	LYRM4	-1.77	2.83	17.73	LYR motif containing 4
LOC101271515	RPL15	-1.55	7.59	541.92	ribosomal protein L15
CLXN	CLXN	-2.36	1.79	11.74	calaxin
LOC101279953	LARP1B	1.33	6.02	199.74	La ribonucleoprotein 1B
LOC101277159	SIX2	-3.65	2.82	18.44	SIX homeobox 2
LOC101278682	GSTM3	-1.97	4.89	86.59	glutathione S-transferase Mu 3
LOC101269357	S100A14	-2.33	5.55	151.69	S100 calcium binding protein A14
DYNLT2B	DYNLT2B	-2.29	1.2	7.75	dynein light chain Tctex-type 2B
LOC101286221	EIF3F	-1.43	6.26	221.67	eukaryotic translation initiation factor 3 subunit F
LOC101272123	ZBTB47	-1.36	8.01	678.98	zinc finger and BTB domain containing 47
LOC117203706	LOC117203706	-1.32	5.79	161.61	60S ribosomal protein L31-like
LOC101278523	EEF1G	-1.04	8.79	1183.64	eukaryotic translation elongation factor 1 gamma
LNPK	LNPK	-1.45	4.04	41.66	lunapark, ER junction formation factor
LOC101277464	PCDH17	1.83	5.02	91.58	protocadherin 17
LOC101283409	ELOVL4	-2.39	3.52	32.52	ELOVL fatty acid elongase 4
LOC101288613	RFTN2	-1.89	4.06	48.09	raftlin family member 2
LOC101287632	GPM6B	-2.3	3.47	33.25	glycoprotein M6B
LOC101288292	RPL7A	-1.22	8.25	788.77	ribosomal protein L7a
LOC101272898	MLPH	-2.65	4.02	53.33	melanophilin
LOC101278096	NFIX	-1.67	8.65	1983.94	nuclear factor I X
LOC101289392	RASGRP3	1.41	5.08	90.08	RAS guanyl releasing protein 3
LOC101290325	LDOC1	-1.4	3.9	31.87	LDOC1 regulator of NFKB signaling
LOC101269850	SIM2	-4.46	1.2	6.88	SIM bHLH transcription factor 2
LOC101275345	FAM169A	-2.11	3.37	30.17	family with sequence similarity 169 member A
LOC101284668	NBL1	-1.69	6.66	432.29	NBL1, DAN family BMP antagonist
LOC101271385	LOC101271385	-1.93	2.37	13.73	cytochrome b-c1 complex subunit 8
LOC101284487	ENTPD1	1.45	4.97	92.08	ectonucleoside triphosphate diphosphohydrolase 1
LOC101274772	GRHL2	-4.14	3.59	31.76	grainyhead like transcription factor 2
LOC101270834	TNS4	-3.19	5.18	88.77	tensin 4
LOC101276068	DBN1	-1.04	6.47	255.19	drebrin 1
LOC101280148	ST3GAL2	1.22	5.96	139.35	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
LOC101274033	SLPI	-3.85	5.66	19.56	antileukoproteinase
LOC101276570	KCNK6	-1.61	4.6	67.46	potassium two pore domain channel subfamily K member 6
LOC101278269	DGKD	1.41	7.69	567.25	diacylglycerol kinase delta
LOC101275520	KLHL17	1.43	3.67	32.71	kelch like family member 17
LOC101276175	RCC1L	1.16	5.95	186.36	RCC1 like
LOC101275533	PLIN2	-1.54	5.11	95.88	perilipin 2
LOC101271289	MKX	-2.53	3.13	26.04	mohawk homeobox
LOC105748853	LOC105748853	2.74	4.38	60.13	basic proline-rich protein
LOC101281472	LSM12	-1.25	4.27	66.09	LSM12 homolog
LOC101276460	SAMD4A	-1.15	7.23	381.62	sterile alpha motif domain containing 4A
LOC101272372	CKAP2L	-2.62	2.71	18.59	cytoskeleton associated protein 2 like
LOC101273950	CEACAM16	-4.31	2.93	20.94	CEA cell adhesion molecule 16, tectorial membrane component
LOC101274009	GABARAP	-1.18	6.46	214.36	GABA type A receptor-associated protein
LOC101283600	ARL8B	-1.15	5.12	102.68	ADP ribosylation factor like GTPase 8B
ATP5MC2	ATP5MC2	-1.39	6.34	226.32	ATP synthase membrane subunit c locus 2
LOC101273359	ADAMTS9	1.37	7.06	357.95	ADAM metallopeptidase with thrombospondin type 1 motif 9
LOC101286206	PLA2G4D	-2.93	5.66	113.04	phospholipase A2 group IVD
LOC101277081	Oror-DRA	-3.1	2.78	22.34	HLA class II histocompatibility antigen, DR alpha chain
LOC101278313	TMPRSS11D	-5.06	4.48	19.68	transmembrane serine protease 11D
LOC101288059	SEC61B	-1.78	3.83	40.57	SEC61 translocon subunit beta
LOC101280657	MEGF6	1.59	5.62	141.91	multiple EGF like domains 6
