gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101289082	NECTIN1	3.33	6.23	244.78	nectin cell adhesion molecule 1
LOC101276899	RIPK4	6.13	4.97	90.02	receptor interacting serine/threonine kinase 4
LOC101286179	MT4	8.13	8.64	1182.19	metallothionein 4
LOC101281550	NECTIN4	5.3	4.66	72.77	nectin cell adhesion molecule 4
LOC101287182	PRELP	3.2	6.39	299.51	proline and arginine rich end leucine rich repeat protein
LOC101274324	SFN	6.01	7.07	401.6	stratifin
LOC101284668	NBL1	2.68	6.9	432.29	NBL1, DAN family BMP antagonist
LOC101270519	LOC101270519	6.5	7.04	124.35	serpin B3-like
LOC101285188	TMPRSS13	7.01	4.73	79.13	transmembrane serine protease 13
LOC101280684	COTL1	2.29	4.68	82.33	coactosin like F-actin binding protein 1
LOC101284633	NINJ1	2.05	4.16	54.31	ninjurin 1
LOC101288371	TMEM54	4.98	3.89	44.84	transmembrane protein 54
LOC101288154	IRX1	3.25	6.65	299.85	iroquois homeobox 1
LOC101284966	CREB3L1	2.7	7.12	425.71	cAMP responsive element binding protein 3 like 1
LOC117202489	LOC117202489	7.85	7.98	725.65	antileukoproteinase-like
LOC101288212	GRHL3	6.65	4.18	53.25	grainyhead like transcription factor 3
LOC101274501	RPL23A	2.41	7.33	473.51	ribosomal protein L23a
LOC101287433	FMOD	3.4	6.47	271.05	fibromodulin
LOC101289408	TACSTD2	7.71	4.84	36.86	tumor associated calcium signal transducer 2
LOC101279228	SDC1	3.31	6.31	249.32	syndecan 1
LOC101278542	SH3BGRL3	2.39	5.98	189.84	SH3 domain binding glutamate rich protein like 3
LOC101280289	SERPINF1	3.76	6.5	275.97	serpin family F member 1
LOC101281352	PIK3R2	1.85	6.37	243.92	phosphoinositide-3-kinase regulatory subunit 2
LOC101288672	IRX4	4.18	4.25	54	iroquois homeobox 4
LOC101283409	ELOVL4	3.47	3.29	32.52	ELOVL fatty acid elongase 4
LOC101280004	NPAS2	1.85	5.31	115.68	neuronal PAS domain protein 2
LOC101285858	ANP32B	1.89	6.06	212.83	acidic nuclear phosphoprotein 32 family member B
LOC101282298	KLK9	7.2	3.66	9.38	kallikrein-9
LOC101278572	LOC101278572	3.57	4.04	47.53	histone H2B type 1-C/E/F/G/I-like
LOC101288240	CDS2	-1.66	6.36	252.4	CDP-diacylglycerol synthase 2
LOC101277840	MFAP2	2.84	4.98	109.28	microfibril associated protein 2
LOC101284384	IL1RN	7.44	3.86	43.43	interleukin 1 receptor antagonist
LOC101281021	SPTBN2	4.85	7.21	432.43	spectrin beta, non-erythrocytic 2
LOC101275612	ISM1	3.13	4.91	111.92	isthmin 1
LOC101280791	DLX3	6.39	3.12	28.22	distal-less homeobox 3
LOC101270871	KDELR1	2.21	5.75	174.43	KDEL endoplasmic reticulum protein retention receptor 1
LOC101287445	OGN	3.11	4.93	98.77	osteoglycin
LOC101281034	EVL	2.6	4.74	76.74	Enah/Vasp-like
LOC101281389	FGF10	3.81	3.26	33.21	fibroblast growth factor 10
LOC101269277	QPCT	2.97	4.1	52.24	glutaminyl-peptide cyclotransferase
LOC101282661	LAMC2	4.25	4.19	52.5	laminin subunit gamma 2
LOC101287010	GJB2	6.66	5.59	148.57	gap junction protein beta 2
LOC101278007	HOMER2	2.99	5.34	119.17	homer scaffold protein 2
LOC101284444	TXNDC5	1.7	6.99	384.72	thioredoxin domain containing 5
LOC117197074	LOC117197074	4.64	6.53	269.95	leukocyte elastase inhibitor-like
LOC101274655	LAD1	5.6	6.53	271.6	ladinin 1
LOC101275485	MMP2	2.27	8.03	784.34	matrix metallopeptidase 2
LOC101270104	VSIG8	6.34	5.6	140.84	V-set and immunoglobulin domain containing 8
NKY04_mgp12	ND2	4.23	12.48	19719.39	NA
C8H11orf24	C8H11orf24	1.59	4.55	70.39	chromosome 8 C11orf24 homolog
LOC101287245	PKP3	5.89	6.52	268.64	plakophilin 3
LOC101270637	ANG	4.99	2.58	16.72	angiogenin
LOC101279013	DPYD	-1.49	5.15	99.45	dihydropyrimidine dehydrogenase
LOC101275761	HLF	1.94	4.49	78.25	HLF transcription factor, PAR bZIP family member
LOC101274961	RAB7B	2.5	3.73	43.87	RAB7B, member RAS oncogene family
LOC101279259	ESR1	2.5	5.46	139.26	estrogen receptor 1
CRYBG2	CRYBG2	3.35	6.24	171.59	crystallin beta-gamma domain containing 2
LOC101274033	SLPI	6.12	5.66	22.54	antileukoproteinase
LOC101272466	CRTAP	1.56	6.17	216.07	cartilage associated protein
LOC101269553	FAM83C	3.95	4.3	57.93	family with sequence similarity 83 member C
NKY04_mgp06	ND3	2.97	9.44	2172.68	NA
LOC101272800	A2ML1	6.15	7.52	246.51	alpha-2-macroglobulin like 1
LOC101276616	EPHB3	2.51	5.29	85.57	EPH receptor B3
LOC117202671	LOC117202671	2.49	5.58	144.3	histone H4
LOC101269251	C1QTNF6	2.91	4.8	94.69	C1q and TNF related 6
LOC101290441	PSD4	3.53	5.52	134.62	pleckstrin and Sec7 domain containing 4
LOC125961351	LOC125961351	2.54	5.42	138.14	histone H2B type 2-E-like
LOC101279572	BASP1	4.36	2.35	19.14	brain abundant membrane attached signal protein 1
LOC101280408	RORA	1.71	6.54	304.19	RAR related orphan receptor A
LOC101282273	RPL36A	1.95	5.8	165.68	ribosomal protein L36a
LOC101275214	SLC26A9	5.53	4.35	61.93	solute carrier family 26 member 9
LOC101275670	TRPV3	4.91	6.27	52.91	transient receptor potential cation channel subfamily V member 3
LOC125962844	LOC125962844	-3.17	2.42	15.53	uncharacterized LOC125962844
LOC101276217	FAM180B	3.17	5.06	104.41	family with sequence similarity 180 member B
LOC101281847	ESYT3	3.83	4.68	61.35	extended synaptotagmin 3
LOC101270427	SLC10A6	3.27	3.95	59.7	solute carrier family 10 member 6
LOC101273231	RASSF5	3.36	3.07	25.3	Ras association domain family member 5
LOC101274941	KLF5	3.84	4.94	90.81	KLF transcription factor 5
LOC101277209	IMPA2	2.39	5.57	136.88	inositol monophosphatase 2
LOC101285817	PITX1	5.03	5.14	112.04	paired like homeodomain 1
LOC101271978	KCNK12	3.13	3.52	37.75	potassium two pore domain channel subfamily K member 12
LOC101277902	SSR4	2.3	6.4	251.81	signal sequence receptor subunit 4
LOC101282920	RPL18A	2.02	7.48	525.52	ribosomal protein L18a
LOC101271941	RPLP1	2.31	9.03	1573.99	ribosomal protein lateral stalk subunit P1
LOC101276104	PABPC1	1.82	8.95	1483.88	poly(A) binding protein cytoplasmic 1
LOC101284203	TUBA4A	3.33	4.59	70.59	tubulin alpha 4a
NKY04_mgp09	ATP8	3.62	9.11	1867.12	NA
LOC101276011	TSPAN33	-2.37	3.05	22.71	tetraspanin 33
LOC101279773	SHTN1	2.23	4.82	87.69	shootin 1
LOC101273359	ADAMTS9	-2.13	7.12	390.96	ADAM metallopeptidase with thrombospondin type 1 motif 9
LOC101284310	ATP2A3	-2.9	5.2	101.35	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
LOC105747848	LOC105747848	2.88	3.68	40.72	60S ribosomal protein L39
LOC101275830	WIPF1	2.04	6.6	313.15	WAS/WASL interacting protein family member 1
LOC101282629	SEMA4A	4.87	3.86	42.57	semaphorin 4A
LOC101271277	LOC101271277	5.82	10.14	804.57	keratin, type II cytoskeletal 5
LOC101272310	OVOL1	5.4	4.81	79.3	ovo like transcriptional repressor 1
LOC101278096	NFIX	2.04	9.14	1983.94	nuclear factor I X
LOC101273448	GAS7	1.36	7.02	440.44	growth arrest specific 7
LOC101272463	SMOC2	2.49	4.59	76.25	SPARC related modular calcium binding 2
LOC101281345	SOX9	2.83	3.34	28.24	SRY-box transcription factor 9
LOC101288779	UTRN	-1.27	9.43	1978.03	utrophin
LOC101282844	WNT7B	5.38	3.07	27.4	Wnt family member 7B
LOC101282839	ADGRD1	2.4	4.75	81.45	adhesion G protein-coupled receptor D1
LOC101277821	SERPINB5	4.66	5.02	94.85	serpin family B member 5
INAVA	INAVA	5.9	4.11	53.7	innate immunity activator
LOC101287000	FAT2	4.73	6.73	311.19	FAT atypical cadherin 2
LOC101278375	CDCP1	3.44	4.73	78.6	CUB domain containing protein 1
LOC117202997	LOC117202997	6.18	4.4	12.28	keratin, type II cytoskeletal 75-like
LOC101290294	FMO3	2.68	6.55	292.17	flavin containing dimethylaniline monoxygenase 3
LOC101282134	HMOX1	2.67	4.53	67.86	heme oxygenase 1
LOC101286530	LY6G6C	6.53	2.13	12.72	lymphocyte antigen 6 family member G6C
LOC101285547	LOC101285547	3.39	8.77	2716.37	E3 ubiquitin-protein ligase SMURF2-like
TENT5A	TENT5A	1.65	6.39	257.77	terminal nucleotidyltransferase 5A
LOC101284151	LOC101284151	6.37	5.24	96.5	annexin A8
LOC101271116	TTC22	5.06	4.19	50.8	tetratricopeptide repeat domain 22
LOC101283803	RAB25	5.75	3.65	30.15	RAB25, member RAS oncogene family
LOC101271438	GRHL1	4.69	4.24	55.49	grainyhead like transcription factor 1
LOC101277737	COL17A1	4.16	6.67	242.86	collagen type XVII alpha 1 chain
LOC101284835	SIRPA	1.92	5.15	113.45	signal regulatory protein alpha
LOC101279312	LOC101279312	2.97	3.59	34.82	histone H2A type 1
NKY04_mgp04	ND4	4.01	13.24	31740.12	NA
LOC101278377	ZNF185	3.64	5.11	89.16	zinc finger protein 185 with LIM domain
LOC101282360	POSTN	2.8	7.86	716.92	periostin
LOC101288980	POLE3	1.63	5.06	107.37	DNA polymerase epsilon 3, accessory subunit
LOC101281058	TUFT1	2.56	5.96	186.84	tuftelin 1
LOC101269272	SLC7A8	3.06	5.02	97.25	solute carrier family 7 member 8
LOC101278925	KDELR3	2.29	6	207.52	KDEL endoplasmic reticulum protein retention receptor 3
LOC101285220	MRPL22	3.68	6.1	391.21	mitochondrial ribosomal protein L22
LOC101283737	RPL12	1.77	8.08	812.15	ribosomal protein L12
LOC125961946	LOC125961946	5.97	2.24	16.87	translation initiation factor IF-2-like
LOC101288327	ARHGAP11A	2.28	4.19	57.68	Rho GTPase activating protein 11A
LOC101289275	TUBB2A	1.56	7.6	574.11	tubulin beta-2B chain
LOC101270351	S100A4	2.09	8.75	1296.54	protein S100-A4
LOC101287856	CPZ	3.64	4.11	52.32	carboxypeptidase Z
LOC101274850	P4HB	1.62	8.92	1432	prolyl 4-hydroxylase subunit beta
LOC101285838	RBM47	3.01	3.89	45.58	RNA binding motif protein 47
LOC101275232	SPON2	2.55	7.77	642.73	spondin-2
LOC101276445	RHOV	2.79	3.6	36.58	ras homolog family member V
LOC101279963	MOB3A	1.53	5.03	107.65	MOB kinase activator 3A
LOC101271435	NOP10	2.18	2.51	17.12	NOP10 ribonucleoprotein
LOC101280079	CD276	1.72	5.76	166.04	CD276 molecule
LOC101270776	SERPINB2	4.7	2.86	18.73	plasminogen activator inhibitor 2
LOC101278313	TMPRSS11D	6.9	4.07	21.96	transmembrane serine protease 11D
LOC101279834	LSM4	1.54	4.12	53.28	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated
LOC101290170	TMEM238	3.71	2.64	18.97	transmembrane protein 238
LOC101269676	TMEM132A	-2.01	4.58	68.5	transmembrane protein 132A
LOC101280946	DYNLL1	2.86	4.55	70.97	dynein light chain LC8-type 1
LOC101276699	SPINT1	3.97	3.19	25.48	serine peptidase inhibitor, Kunitz type 1
LOC101288900	SGMS2	2	3.97	55.7	sphingomyelin synthase 2
LOC101275928	LYPD3	3.61	5.72	152.95	LY6/PLAUR domain containing 3
LOC101281699	CLCA2	7.96	4.03	44.78	chloride channel accessory 2
LOC101276570	KCNK6	2.2	4.32	67.46	potassium two pore domain channel subfamily K member 6
LOC117197667	ATP5F1E	2.16	4.21	56.65	ATP synthase F1 subunit epsilon
LOC101287274	PPDPF	2.23	4.93	95.31	pancreatic progenitor cell differentiation and proliferation factor
LOC101269698	LOX	2.27	7.66	651.39	lysyl oxidase
LOC101276776	PYCR1	2.4	4.2	55.35	pyrroline-5-carboxylate reductase 1
LOC101280598	TPBGL	3.04	4.12	50.81	trophoblast glycoprotein like
LOC101276724	CHAD	2.5	4.52	69.77	chondroadherin
LOC101288853	FBLN5	1.95	4.92	94.78	fibulin 5
LOC101271893	DCLK2	-1.74	5.64	154.32	doublecortin like kinase 2
LOC101283701	HS2ST1	-1.11	4.82	83.84	heparan sulfate 2-O-sulfotransferase 1
LOC101283333	CDC42BPA	-1.07	7.05	388.37	CDC42 binding protein kinase alpha
LOC101276094	KLF4	2.06	7.47	526.03	KLF transcription factor 4
LOC105748826	LOC105748826	2.38	7.8	1938.21	SLAM family member 9-like
LOC101285880	MASP1	2.76	2.98	23.77	MBL associated serine protease 1
LOC101288322	CDH1	4.64	5.31	78.93	cadherin 1
LOC101285540	TALDO1	1.63	6.15	205.27	transaldolase 1
LOC101280171	POU2F3	3.55	4.63	93.1	POU class 2 homeobox 3
LOC101287907	MED10	1.71	3.87	47.35	mediator complex subunit 10
LOC101289137	AFF2	3.86	4.11	54.55	ALF transcription elongation factor 2
LOC101282547	KLK6	5.69	4.02	47.37	kallikrein-6
LOC125961507	LOC125961507	6.08	6.56	23.65	protein-glutamine gamma-glutamyltransferase E-like
LOC101290175	MN1	1.48	5.65	149.25	MN1 proto-oncogene, transcriptional regulator
LOC101272218	KCNC2	-3.46	2.24	14.19	potassium voltage-gated channel subfamily C member 2
LOC101284845	RPL39	2.87	3.69	49.05	ribosomal protein L39
LOC101282997	RPL38	2.45	6.1	204.73	ribosomal protein L38
LOC101274183	LOC101274183	3.11	5.54	137.15	hemoglobin subunit alpha
C1H1orf116	C1H1orf116	3.96	3.89	26.5	chromosome 1 C1orf116 homolog
LOC101289464	PTPRF	3.04	7.63	576.09	protein tyrosine phosphatase receptor type F
LOC101287231	RARG	1.82	5.69	152.29	retinoic acid receptor gamma
LOC101287797	RPL29	1.74	6.82	328.84	ribosomal protein L29
LOC101284641	IL36RN	7.4	2.16	14.57	interleukin 36 receptor antagonist
LOC101273201	VGLL3	2.19	5.4	157.6	vestigial like family member 3
LOC101271972	ABTB2	2.4	5.51	132.57	ankyrin repeat and BTB domain containing 2
LOC101271897	KLHDC8B	-2.25	3.9	43.01	kelch domain containing 8B
LOC101287171	SPINK5	5.54	7.42	121.11	serine peptidase inhibitor Kazal type 5
LOC101270375	RPS29	1.91	6.39	251.53	ribosomal protein S29
LOC105747718	NME2	1.56	6.26	231.65	nucleoside diphosphate kinase B
LOC101270569	E2F4	1.16	4.56	70.11	E2F transcription factor 4
LOC101290216	DSC2	4.55	6	187.27	desmocollin 2
LOC101282995	IRF6	6.23	3.92	43.85	interferon regulatory factor 6
LOC101272491	GPC4	2.63	3.54	39.18	glypican 4
LOC101279794	GUF1	-1.67	4.34	59.15	GTP binding elongation factor GUF1
LOC101271453	MELTF	-2.39	2.31	12.27	melanotransferrin
LOC101270357	FRMD6	1.58	6.36	249.53	FERM domain containing 6
LOC101285102	SNAI2	2.48	3.72	39.52	snail family transcriptional repressor 2
LOC101276279	S1PR2	2.02	3.96	52.04	sphingosine-1-phosphate receptor 2
LOC101280810	CGN	4.54	4.67	18.44	cingulin
LOC101272073	KIF18B	3.2	3.04	23.35	kinesin family member 18B
LOC101279384	ASTN1	-2.66	2.74	19.74	astrotactin 1
LOC101283111	TFAP2A	4.38	4.67	79.13	transcription factor AP-2 alpha
LOC101283097	DAP	1.78	6.62	402.75	death associated protein
LOC101269336	NIPAL4	5.23	4.02	48.85	NIPA like domain containing 4
LOC101283784	TNFAIP8L3	2.44	3.39	35.14	TNF alpha induced protein 8 like 3
LOC101288603	LAMTOR1	1.43	4.88	90.06	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
LOC117202102	GNG5	2.13	2.85	20.92	G protein subunit gamma 5
LOC101281621	PPP2R2C	4.05	3.25	27.16	protein phosphatase 2 regulatory subunit Bgamma
LOC101289868	LOC101289868	1.35	5.38	126.32	cytochrome c oxidase subunit 6B1
LOC101277313	FTH1	2.25	9.42	2123.36	ferritin heavy chain 1
LOC101286660	GAS1	1.61	5.78	166.88	growth arrest specific 1
LOC101287675	RTN1	-2.15	3.59	35.03	reticulon 1
LOC101277464	PCDH17	-2.29	5.02	91.58	protocadherin 17
LOC101286568	SPARC	2.03	11.61	9793.96	secreted protein acidic and cysteine rich
LOC101269357	S100A14	2.98	5.55	151.69	S100 calcium binding protein A14
LOC101287933	SRSF5	-1.07	7.79	644	serine and arginine rich splicing factor 5
LOC101271985	CPXM1	1.76	6.88	350.17	carboxypeptidase X, M14 family member 1
LOC101290306	PRG4	2.82	4.74	78.83	proteoglycan 4
LOC101274338	LPAR1	2.71	6.2	274.77	lysophosphatidic acid receptor 1
LOC101275387	REEP2	-2.49	2.65	15.56	receptor accessory protein 2
LOC101280424	LMNB1	2.2	4.42	68.47	lamin B1
LOC101283888	GOLGA7	2.04	4.41	68.57	golgin A7
LOC101285656	RPS27	2.03	7.19	439.12	ribosomal protein S27
LOC101287782	MXRA5	1.88	8.11	796.58	matrix remodeling associated 5
LOC101289064	SERPINB1	2.53	5.72	171.27	leukocyte elastase inhibitor-like
LOC101276423	KLK7	5.5	4.05	11.49	kallikrein related peptidase 7
LOC101280544	LUM	2.65	5.8	174.56	lumican
LOC101277307	RUNDC3B	-2.05	4.55	73	RUN domain containing 3B
LOC101283933	RPLP2	1.62	7.43	505.25	ribosomal protein lateral stalk subunit P2
LOC101280455	TIAM1	2.44	5.37	119.3	TIAM Rac1 associated GEF 1
LOC101280060	RASAL2	-1.04	6.45	264.31	RAS protein activator like 2
LOC101269939	AP2A1	1.17	6.54	269.24	adaptor related protein complex 2 subunit alpha 1
LOC101285488	CABLES2	5.72	3.2	24.39	RBBP8 N-terminal like
LOC101288569	NTN5	5.04	3.36	32.44	netrin 5
LOC101277165	EIF4EBP1	2.75	2.85	22.49	eukaryotic translation initiation factor 4E binding protein 1
LOC101276301	KRT16	4.96	6.52	7122.88	keratin, type I cytoskeletal 16
LOC101286834	LOC101286834	1.71	8.78	1339.69	guanine nucleotide-binding protein G(s) subunit alpha
LOC101283510	ITGB1	-1.18	7.75	621.34	integrin subunit beta 1
LOC101273950	CEACAM16	5.55	2.93	20.94	CEA cell adhesion molecule 16, tectorial membrane component
LOC101277268	DAZAP2	1.5	5.57	147.15	DAZ associated protein 2
LOC101278180	MXD1	2.28	5.44	53.29	MAX dimerization protein 1
LOC101288939	OTX1	5.16	3.42	44.42	orthodenticle homeobox 1
LOC101287427	HDLBP	1.15	7.98	729.64	high density lipoprotein binding protein
LOC101276199	DKK3	1.36	7.06	408.43	dickkopf WNT signaling pathway inhibitor 3
LOC101283521	ABHD17C	2.34	4.09	49.1	abhydrolase domain containing 17C, depalmitoylase
LOC101272160	DUSP5	2.97	3.25	21.96	dual specificity phosphatase 5
LOC101281080	RIN2	1.56	5.91	175.85	Ras and Rab interactor 2
LOC101274410	ARL8A	1.53	4.96	103.24	ADP ribosylation factor like GTPase 8A
LOC101280813	MYO5B	3.83	4.7	74.38	myosin VB
LOC101286327	AEBP1	1.56	8.56	1083.98	AE binding protein 1
LOC101290325	LDOC1	1.82	3.34	31.87	LDOC1 regulator of NFKB signaling
LOC101270984	APP	-1.46	8.81	1272.05	amyloid beta precursor protein
LOC101276954	NENF	1.6	5.62	151.29	neudesin neurotrophic factor
LOC101285928	RPS18	1.86	7.52	542.34	ribosomal protein S18
LOC125961508	LOC125961508	5.35	5.28	21.03	transglutaminase 3
LOC101273947	HBA1	3.13	5.33	122.54	hemoglobin subunit alpha
LOC101283075	ASTN2	-1.9	5.7	146.35	astrotactin 2
LOC101282217	TLR4	-2.16	4.03	44.1	toll like receptor 4
LOC101271395	GPSM2	1.6	4.48	66.49	G protein signaling modulator 2
LOC101276229	FZD1	1.62	4.96	94.68	frizzled class receptor 1
LOC101274687	RPL36	1.65	6.78	320.86	ribosomal protein L36
LOC101279083	UNC119B	2.25	7.29	465.21	unc-119 lipid binding chaperone B
LOC101277145	SFRP4	2.45	3.87	44.87	secreted frizzled related protein 4
LOC101285909	RAB13	2.01	5.64	158.15	RAB13, member RAS oncogene family
LOC101286698	DOCK4	-1.12	5.84	164.97	dedicator of cytokinesis 4
LOC101274886	ARFGEF3	-2.21	5.12	101.08	ARFGEF family member 3
LOC101283975	CLEC11A	2.32	3.39	30.61	C-type lectin domain containing 11A
LOC101277282	ACVR2B	-1.5	4.45	57.59	activin A receptor type 2B
SEPTIN8	SEPTIN8	1.6	7.06	328.82	septin 8
LOC101286535	LMX1B	4.26	3.23	28.98	LIM homeobox transcription factor 1 beta
LOC101272448	KRT80	5.72	5.68	12.42	keratin 80
LOC101287345	GIMAP8	-2.03	5.77	157.74	GTPase, IMAP family member 8
LOC101273166	POPDC3	4	2.36	21.43	popeye domain containing 3
LOC101273317	LOC101273317	2.08	3.65	39.01	malignant T-cell-amplified sequence 1-like
LOC101279553	CTNNAL1	-1.38	5.32	111.7	catenin alpha like 1
LOC101272267	ACOT11	3.11	4.02	46.53	acyl-CoA thioesterase 11
LOC101276043	FOXF2	4.9	2.79	21.17	forkhead box F2
LOC101287998	TP63	5.14	5.83	168.62	tumor protein p63
LOC101285434	DPT	2.75	3.51	40.56	dermatopontin
LOC101279066	WIPI1	1.22	7.09	406.85	WD repeat domain, phosphoinositide interacting 1
LOC101272013	UBE2E1	1.73	4.27	56.27	ubiquitin conjugating enzyme E2 E1
LOC101276406	MTSS1	1.25	7.12	403.45	MTSS I-BAR domain containing 1
LOC101273375	CCDC80	1.91	9.18	1730.26	coiled-coil domain containing 80
STMP1	STMP1	2.47	3.47	36.97	short transmembrane mitochondrial protein 1
LOC101275935	LOC101275935	2.3	4.51	71.4	uncharacterized LOC101275935
LOC101288739	PAK6	4.42	4.45	65.72	p21 (RAC1) activated kinase 6
LOC101274244	YBX1	1.71	8.05	803.44	Y-box binding protein 1
LOC101282218	TMEM263	2.04	4.59	86.95	transmembrane protein 263
LOC101282984	FAM110A	3.64	2.58	16.04	family with sequence similarity 110 member A
LOC101271642	AKAP6	-1.77	4.82	82.25	A-kinase anchoring protein 6
LOC101282417	CCDC124	1.75	4.54	68.45	coiled-coil domain containing 124
LOC117198243	KRTDAP	6.16	6.84	75.43	keratinocyte differentiation associated protein
LOC101279220	DYNLRB1	1.51	4.33	59.86	dynein light chain roadblock-type 1
LOC101283487	UCHL1	-1.82	5.72	146	ubiquitin C-terminal hydrolase L1
LOC101277254	COMMD8	1.96	3.26	31.22	COMM domain containing 8
LOC101273694	RCVRN	3.51	2.3	12.94	recoverin
LOC101269222	SULT2B1	6.04	2.9	19.76	sulfotransferase family 2B member 1
LOC101274273	CHAMP1	1.48	3.85	42.72	chromosome alignment maintaining phosphoprotein 1
LOC101285274	ATP7B	-2.67	2.77	20.94	ATPase copper transporting beta
LOC101283353	ISLR2	3.43	4.29	55.14	immunoglobulin superfamily containing leucine rich repeat 2
LOC101279626	NPR3	-2.33	4.51	66.22	natriuretic peptide receptor 3
LOC101279397	SOX21	5.08	3.74	40.43	SRY-box transcription factor 21
LOC101287946	SH3D19	1.04	6.12	225.2	SH3 domain containing 19
LOC101278598	BCL11B	2.72	4.38	64.41	BAF chromatin remodeling complex subunit BCL11B
LOC101269577	B4GALNT3	2.78	5.58	162.65	beta-1,4-N-acetyl-galactosaminyltransferase 3
LOC101277509	AP2S1	1.42	4.69	78.47	adaptor related protein complex 2 subunit sigma 1
LOC101275865	TMEM132C	-2.69	4.39	61.31	transmembrane protein 132C
LOC101281893	MYH11	-2.64	8.99	1409.22	myosin heavy chain 11
LOC101276106	MIF	1.77	5.42	125.78	macrophage migration inhibitory factor
LOC101278964	HMGA1	2.37	5.04	95.82	high mobility group AT-hook 1
LOC101280037	FAAH	-2.16	5.3	113.04	fatty-acid amide hydrolase 1
LOC101289846	COL4A5	-2.01	4.79	77.91	collagen type IV alpha 5 chain
LOC101279258	RAB5C	1.77	6.51	288.08	RAB5C, member RAS oncogene family
LOC101285712	SLC9A3R1	3.19	5.26	110.78	SLC9A3 regulator 1
